,ag land as percent of land area,ag land,arable land,birth rate,co2 emissions,crop production,death rate,electric power consumption,electricity production from hydroelectric,"electricity production from oil, coal and gas sources",electricity production from renewable sources,energy use,fertility,food production,gdp,GNI per capita,land area,population density,population,ecological footprint,fossil fuels
1971,37.0794866851914,39990571.6,0.316589550221826,31.629051611858202,15323175.556,43.144059636062295,11.7338981686924,1199.37193032393,20.211718099210803,61.6801634728677,0.251909243739798,1336.23802484744,4.66198627956904,41.4163369165716,3266859388933.32,873.218427038109,129721385.4,29.0113540446354,3762198347.0,1.03211092616764,55934.05522
1972,37.165732176880496,40083551.0,0.309573523654783,31.1311892842575,15957192.522,42.661848478813795,11.6394144518453,1272.76063423795,19.7284098596083,61.6530718354036,0.24709540236523603,1370.86800084644,4.532955546772571,41.439710137486294,3767825674167.72,973.116952436058,129721285.4,29.6040057278063,3838924951.0,1.06415027836037,58840.5821
1973,37.3392126551615,40270625.0,0.30539600479560497,30.511250139142604,16822109.477,45.2546638561593,11.396721647151198,1346.46441814316,18.5947123662317,62.1701621913126,0.26357924750893896,1416.98434585461,4.405347493021241,43.184423942765,4591474517841.1,1172.32884308973,129721215.4,30.189693250437998,3914857611.0,1.10859951614708,62222.63062
1974,37.4098536275623,40346636.0,0.29914279273740696,29.664053432249602,16850822.087,45.4709118366666,11.288272179461401,1345.79987820555,20.285325579739602,59.6283610841691,0.246671334595737,1389.20216886857,4.285025606697229,44.1748853329226,5295569910853.61,1373.28462995504,129720745.4,30.7805144712035,3991430917.0,1.1035228825913799,62018.81299
1975,37.489452111173,40432292.0,0.29339336958577694,29.0370315800119,16745791.873,47.0244439013458,11.1442889644307,1354.65129334193,20.0460490014314,58.461347204093705,0.26936137349394396,1364.17888017009,4.15511839310052,45.7334889695059,5896393093610.85,1538.8177717840101,129720235.4,31.357795146276803,4066267984.0,1.09517415307388,61974.94832999999
1976,37.467327524186395,40408352.0,0.288658873412384,28.199532600851,17726098.317,47.1666572120569,10.9879993999164,1425.56430742983,18.4632666543037,59.6188446381788,0.27741978201170897,1418.8950165616102,4.041123364911759,46.7181766552579,6415462946159.21,1617.90028909939,129720025.4,31.9198776459691,4139151082.0,1.14082050752314,65409.67898
1977,37.449256691094,40388814.0,0.28249272464953495,27.870189890638198,18279804.316,48.7402092257386,10.7239689048789,1471.3459922063598,18.0672184279931,58.9854044969597,0.28207687672543896,1442.8914831849302,3.94003849931566,47.7955365255016,7256598499261.34,1712.05912808465,129719895.4,32.480023068227,4211781677.0,1.1624458666128001,67495.94757
1978,37.497558285907104,40440907.0,0.278805370757734,27.5947981168305,18497906.475,51.3272193785934,10.4733493581652,1523.3226109922598,18.3924426124981,57.8896574574408,0.274371068789554,1474.1016281659302,3.84858191091212,49.895216989225204,8542730884145.53,1918.3159743544,129719895.4,33.049330341967,4285609387.0,1.1770687163748002,69238.55073999999
1979,37.6051529850265,40556936.0,0.274530623948546,27.4513482503158,19533547.949,52.4970305817404,10.306831822150901,1568.0519685421302,18.5993791878908,57.75645071410771,0.302590635294057,1490.84616172515,3.78083845780088,51.127949465342,9925211922265.23,2264.6876725708803,129719865.4,33.632966936458104,4361295248.0,1.2102200628080302,71612.88019
1980,37.713022674886204,40673171.0,0.26974343288172603,27.454147344356603,19324327.264000002,52.133734448456,10.269259651228499,1585.0173903045002,18.2722941509098,57.6829697100652,0.34938213472721,1452.3381265917599,3.72237935688536,51.7564005350503,11170005676379.3,2590.35614947773,129719595.4,34.2225687207162,4437690434.0,1.1883846654177501,70830.13976
