Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1961,Earths,0.00840392952925494,0.321625183810168,0.148633719362896,0.0305975890203703,0.137771753952168,0.0849406229392712,0.731972114775274,3A,null
World,º World,1962,Earths,0.00884151998582864,0.333616715312276,0.15398340459742,0.0318123309824231,0.138097398175562,0.0852089814104004,0.751559446699974,3A,null
World,º World,1963,Earths,0.00905832187936313,0.357161983435827,0.155806970077094,0.032817798247359,0.139434010731638,0.0868666006606644,0.781146717514085,3A,null
World,º World,1964,Earths,0.00945127072356424,0.378813072047164,0.159832640701057,0.0320129291109835,0.143778853303525,0.085831919516275,0.809721018788196,3A,null
World,º World,1965,Earths,0.00973996404464163,0.398459637752898,0.162142211118684,0.0343444987309895,0.145140948271772,0.0877383287474238,0.837566717076324,3A,null
World,º World,1966,Earths,0.0104530116962587,0.415803599252578,0.170274665707407,0.0363253102982077,0.145849119561154,0.0864643290473297,0.865171069034095,3A,null
World,º World,1967,Earths,0.0108808699752851,0.425876069334835,0.174371619369723,0.0386199015219808,0.1473529088611,0.0876859274424916,0.884786548073589,3A,null
World,º World,1968,Earths,0.0112897145503018,0.449402689268317,0.178711364736646,0.0409216149823939,0.148407097216713,0.0875302072950756,0.916263391564064,3A,null
World,º World,1969,Earths,0.0116396961484922,0.482712499247417,0.18282517939991,0.0405698687905633,0.149924824555248,0.0868633368664681,0.95453648723367,3A,null
World,º World,1970,Earths,0.0121610942755282,0.527118143791987,0.187022784600748,0.040989302042323,0.152515993441828,0.0861991816015768,1.00600706175625,3A,null
World,º World,1971,Earths,0.0129040520977671,0.544637243831035,0.194291612209709,0.0398847102055525,0.152953516948887,0.0874409849951392,1.03211092616764,3A,null
World,º World,1972,Earths,0.0128961282433177,0.575073613143798,0.190097246583306,0.0419244881946274,0.153729566277641,0.0904279659334491,1.06415027836037,3A,null
World,º World,1973,Earths,0.0137117060545541,0.607185285610319,0.199223508494344,0.0427403826622746,0.157191768239657,0.0885473868890891,1.10859951614708,3A,null
World,º World,1974,Earths,0.013674455486755,0.601076569535718,0.194908642596328,0.0442128789724466,0.158049909452134,0.091601378620925,1.10352288259138,3A,null
World,º World,1975,Earths,0.0140905296217263,0.592681516284021,0.197043644608478,0.0419262245409353,0.153938619082017,0.0954934343302821,1.09517415307388,3A,null
World,º World,1976,Earths,0.0148598865597375,0.625959768168847,0.204435532054652,0.042553734770571,0.158987910185868,0.0940241819051665,1.14082050752314,3A,null
